5314,1787,05-07-2016,96396,12,8033,Loan not payed
5316,1801,11-07-2016,165960,36,4610,Contract Finished
6863,9188,28-07-2016,127080,60,2118,Contract Finished
5325,1843,03-08-2016,105804,36,2939,Contract Finished
7240,11013,06-09-2016,274740,60,4579,Contract Finished
6687,8261,13-09-2016,87840,24,3660,Contract Finished
7284,11265,15-09-2016,52788,12,4399,Contract Finished
6111,5428,24-09-2016,174744,24,7281,Loan not payed
7235,10973,13-10-2016,154416,48,3217,Contract Finished
5997,4894,04-11-2016,117024,24,4876,Contract Finished
7121,10364,10-11-2016,21924,36,609,Contract Finished
6077,5270,22-11-2016,79608,24,3317,Contract Finished
6228,6034,01-12-2016,464520,60,7742,Loan not payed
6356,6701,08-12-2016,95400,36,2650,Contract Finished
5523,2705,08-12-2016,93888,36,2608,Contract Finished
6456,7123,09-12-2016,47016,12,3918,Contract Finished
7104,10320,13-12-2016,259740,60,4329,Contract Finished
6820,9034,16-12-2016,38148,12,3179,Contract Finished
6876,9236,21-12-2016,86616,12,7218,Contract Finished
7097,10266,23-12-2016,75624,24,3151,Loan not payed
4959,2,05-01-2017,80952,24,3373,Contract Finished
6499,7401,05-01-2017,80952,24,3373,Contract Finished
5479,2486,10-01-2017,24516,12,2043,Contract Finished
5170,1071,20-01-2017,253200,60,4220,Running Contract
6721,8475,21-01-2017,21072,24,878,Contract Finished
7259,11111,31-01-2017,108144,36,3004,Contract Finished
5285,1603,06-02-2017,78936,12,6578,Contract Finished
5189,1166,07-02-2017,149040,48,3105,Contract Finished
6650,8073,17-02-2017,49320,12,4110,Loan not payed
7226,10940,23-02-2017,197748,36,5493,Contract Finished
6087,5313,27-02-2017,300660,60,5011,Running Contract
7262,11135,01-03-2017,182628,36,5073,Contract Finished
5519,2694,08-03-2017,91632,12,7636,Contract Finished
6577,7753,11-03-2017,51696,24,2154,Contract Finished
6509,7445,15-03-2017,55368,24,2307,Contract Finished
6520,7485,16-03-2017,91200,24,3800,Contract Finished
6699,8330,30-03-2017,7656,24,319,Contract Finished
6336,6555,31-03-2017,212400,36,5900,Contract Finished
7055,10079,06-04-2017,167100,60,2785,Running Contract
6103,5385,07-04-2017,149340,60,2489,Running Contract
6202,5891,18-04-2017,65184,12,5432,Contract Finished
7066,10131,02-05-2017,215388,36,5983,Loan not payed
6696,8321,09-05-2017,89040,60,1484,Running Contract
6072,5256,10-05-2017,193968,36,5388,Contract Finished
5130,813,11-05-2017,24312,12,2026,Contract Finished
5568,2933,17-05-2017,272520,60,4542,Running Contract
6678,8173,20-05-2017,80340,12,6695,Contract Finished
6998,9833,21-05-2017,97632,12,8136,Contract Finished
6580,7769,22-05-2017,196080,48,4085,Contract Finished
6316,6473,26-05-2017,76908,12,6409,Loan not payed
6512,7454,26-05-2017,63312,48,1319,Contract Finished
6407,6930,26-05-2017,25944,24,1081,Contract Finished
