1,Male,13-02-1998,18
2,Female,04-02-1968,1
3,Male,09-12-1967,1
4,Male,01-12-1979,5
5,Male,03-09-1987,5
6,Female,22-09-1942,12
7,Male,25-01-1952,15
8,Male,21-04-1965,51
9,Female,16-10-1958,60
10,Male,01-05-1966,57
11,Female,22-10-1977,57
12,Female,20-02-2004,40
13,Male,29-07-2001,54
14,Female,22-08-1969,76
15,Female,28-10-1945,21
16,Male,25-02-1942,21
17,Male,13-10-1957,76
18,Male,05-06-1958,76
19,Female,28-12-1965,47
20,Female,04-01-2002,46
21,Male,29-12-1979,12
22,Male,11-12-1996,1
23,Male,29-05-1996,1
24,Male,29-09-1966,43
25,Male,23-06-1966,21
26,Female,20-06-1996,74
27,Female,26-05-1993,54
28,Male,29-09-1968,1
29,Male,11-11-1978,30
30,Male,09-12-1984,74
31,Male,09-02-1985,68
32,Female,28-07-2003,52
33,Female,04-02-1976,73
36,Male,17-09-2005,7
37,Female,10-08-1993,7
38,Male,23-09-2000,36
39,Male,25-01-1991,68
40,Female,22-03-1984,5
41,Male,27-08-1991,22
42,Male,17-08-1958,68
43,Female,28-10-1943,75
44,Male,11-03-2004,38
45,Female,26-08-1975,20
46,Female,30-03-1967,19
47,Female,14-07-1957,76
48,Male,09-02-1963,16
49,Male,11-07-1986,72
50,Female,30-09-2005,39
51,Female,02-02-2007,36
52,Female,12-12-1947,32
53,Male,05-05-2000,64
55,Female,18-11-1975,45
56,Male,31-03-1983,21
57,Male,17-02-1989,21
58,Male,29-06-1954,1
59,Female,18-02-1980,1
60,Male,19-02-2003,67
61,Female,06-10-1975,16
62,Female,08-12-1955,77
63,Female,04-06-1982,4
64,Female,22-04-1949,20
65,Male,27-07-1970,50
66,Female,10-01-1979,1
67,Male,11-01-1960,29
68,Female,14-12-1969,43
70,Female,22-12-1948,70
71,Female,06-04-1954,70
72,Male,13-01-1946,47
73,Female,20-02-1947,22
74,Female,26-09-1952,22
75,Male,19-11-2004,64
76,Male,01-12-1994,36
77,Female,18-04-1983,1
78,Male,13-08-1971,16
79,Female,10-05-1996,37
80,Male,25-04-2006,64
81,Male,29-04-1999,8
82,Male,25-02-2007,8
83,Male,25-02-2006,1
84,Male,05-05-2002,1
85,Male,27-08-1984,1
86,Female,20-09-1996,1
87,Male,17-01-1974,72
89,Male,05-07-1978,1
90,Male,17-08-1998,52
91,Male,07-08-1963,63
92,Female,12-08-1993,74
93,Female,16-02-1948,3
94,Male,09-09-1970,43
95,Male,03-10-1979,43
96,Male,01-03-1995,74
97,Female,28-11-1988,26
98,Female,04-07-2000,33
99,Female,26-01-1996,33
100,Male,11-10-1969,44
101,Male,23-01-1966,68
102,Female,10-11-1985,74
103,Male,11-07-1978,74
105,Female,26-05-2003,31
106,Female,01-03-1996,68
107,Male,23-06-1995,1
108,Male,13-09-1986,17
110,Male,13-06-1994,2
112,Male,25-01-1958,1
113,Male,15-10-1967,1
114,Female,24-08-1996,74
115,Female,24-12-1992,74
116,Female,28-01-1965,74
117,Female,20-11-1963,74
118,Male,19-07-1945,55
119,Female,28-04-1949,55
120,Female,10-05-1999,1
121,Male,29-12-2005,41
122,Male,13-01-1991,35
123,Female,12-02-1992,11
124,Male,21-09-1990,44
125,Male,31-10-1959,37
126,Male,27-11-1956,37
127,Male,27-02-1978,21
128,Female,04-06-2000,63
129,Male,31-07-1974,64
130,Female,14-02-1965,53
131,Male,31-03-2004,53
132,Female,26-01-1976,36
134,Female,18-01-1955,6
135,Female,10-11-1965,6
136,Female,26-03-1948,55
137,Female,14-09-1946,60
138,Male,21-12-1999,54
139,Male,25-09-1986,8
140,Female,06-06-1984,8
141,Female,02-11-1948,31
142,Male,21-06-1960,68
143,Male,09-07-2001,27
144,Female,06-12-1981,65
145,Female,14-02-2001,55
146,Male,19-02-1989,31
147,Female,02-01-1961,21
148,Male,25-12-1963,21
149,Male,27-06-1971,55
150,Male,27-11-2007,2
151,Male,23-11-1998,51
152,Female,02-02-1973,29
153,Female,12-04-2008,13
154,Male,27-08-1956,74
155,Male,13-05-1966,74
